# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
  125893 9.520e-03 1.008e-02 9.617e-03 6.720e-05
  158489 1.222e-02 1.261e-02 1.232e-02 6.156e-05
  199526 1.514e-02 1.650e-02 1.575e-02 3.667e-04
  251189 2.031e-02 2.187e-02 2.062e-02 2.864e-04
  316228 2.480e-02 2.645e-02 2.600e-02 3.458e-04
  398107 3.232e-02 3.604e-02 3.399e-02 4.519e-04
  501187 4.233e-02 4.810e-02 4.384e-02 9.114e-04
  630957 5.258e-02 5.628e-02 5.527e-02 6.212e-04
  794328 7.024e-02 7.311e-02 7.192e-02 7.148e-04
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.730e-07 1.150e-06 9.125e-07 1.460e-07
      13 7.960e-07 1.052e-06 8.600e-07 5.476e-08
      16 9.130e-07 1.329e-06 1.055e-06 1.260e-07
      20 9.900e-07 1.222e-06 1.134e-06 4.681e-08
      25 1.096e-06 1.394e-06 1.227e-06 8.078e-08
      32 1.312e-06 1.574e-06 1.444e-06 6.565e-08
      40 1.571e-06 2.042e-06 1.799e-06 1.415e-07
      50 1.848e-06 2.948e-06 2.231e-06 3.278e-07
      63 2.432e-06 3.191e-06 2.741e-06 2.030e-07
      79 3.263e-06 4.026e-06 3.507e-06 1.888e-07
     100 4.108e-06 4.590e-06 4.343e-06 1.148e-07
     126 5.172e-06 6.812e-06 5.621e-06 3.700e-07
     158 6.743e-06 8.531e-06 7.451e-06 4.382e-07
     200 8.865e-06 1.063e-05 9.474e-06 3.539e-07
     251 1.127e-05 1.364e-05 1.234e-05 6.102e-07
     316 1.485e-05 1.754e-05 1.584e-05 6.232e-07
     398 1.916e-05 2.308e-05 2.047e-05 7.085e-07
     501 2.427e-05 3.168e-05 2.671e-05 1.407e-06
     631 3.232e-05 3.754e-05 3.456e-05 1.473e-06
     794 4.196e-05 5.794e-05 4.551e-05 3.247e-06
    1000 5.471e-05 7.255e-05 5.801e-05 2.406e-06
    1259 7.047e-05 9.137e-05 7.581e-05 4.560e-06
    1585 9.063e-05 1.144e-04 9.813e-05 5.508e-06
    1995 1.184e-04 1.436e-04 1.267e-04 5.824e-06
    2512 1.531e-04 1.848e-04 1.643e-04 7.554e-06
    3162 1.981e-04 2.322e-04 2.121e-04 8.680e-06
    3981 2.559e-04 3.030e-04 2.750e-04 1.146e-05
    5012 3.315e-04 4.953e-04 3.652e-04 3.319e-05
    6310 4.291e-04 4.912e-04 4.578e-04 1.427e-05
    7943 5.544e-04 6.289e-04 5.887e-04 1.537e-05
   10000 7.179e-04 8.054e-04 7.598e-04 1.845e-05
   12589 9.464e-04 1.045e-03 9.813e-04 2.198e-05
   15849 1.228e-03 1.453e-03 1.291e-03 5.858e-05
   19953 1.573e-03 1.846e-03 1.645e-03 6.567e-05
   25119 1.934e-03 2.351e-03 2.061e-03 1.034e-04
   31623 2.587e-03 3.019e-03 2.708e-03 9.037e-05
   39811 3.467e-03 3.966e-03 3.544e-03 9.037e-05
   50119 4.478e-03 5.112e-03 4.555e-03 8.954e-05
   63096 5.800e-03 6.550e-03 5.880e-03 7.604e-05
   79433 7.508e-03 7.941e-03 7.594e-03 6.664e-05
  100000 9.740e-03 1.014e-02 9.838e-03 6.440e-05
  125893 1.252e-02 1.310e-02 1.279e-02 9.077e-05
  158489 1.646e-02 1.706e-02 1.663e-02 9.783e-05
  199526 2.035e-02 2.194e-02 2.109e-02 5.235e-04
  251189 2.785e-02 2.929e-02 2.814e-02 2.790e-04
  316228 3.587e-02 3.686e-02 3.627e-02 1.629e-04
  398107 4.443e-02 4.764e-02 4.646e-02 9.700e-04
  501187 5.769e-02 6.149e-02 6.049e-02 8.344e-04
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.110e-07 6.920e-07 6.571e-07 3.068e-08
      13 7.300e-07 8.350e-07 7.749e-07 2.933e-08
      16 7.560e-07 8.120e-07 7.804e-07 1.418e-08
      20 7.740e-07 9.890e-07 9.033e-07 6.592e-08
      25 8.570e-07 9.300e-07 8.931e-07 1.827e-08
      32 9.540e-07 1.224e-06 1.102e-06 8.548e-08
      40 1.223e-06 1.821e-06 1.559e-06 1.783e-07
      50 1.854e-06 2.138e-06 2.054e-06 4.589e-08
      63 2.465e-06 2.661e-06 2.557e-06 4.570e-08
      79 3.416e-06 4.601e-06 3.734e-06 3.063e-07
     100 5.222e-06 7.129e-06 5.709e-06 4.245e-07
     126 7.603e-06 9.706e-06 8.612e-06 4.633e-07
     158 1.186e-05 1.807e-05 1.332e-05 1.408e-06
     200 1.886e-05 2.450e-05 2.078e-05 1.261e-06
     251 2.917e-05 3.867e-05 3.243e-05 2.080e-06
     316 4.680e-05 6.193e-05 5.061e-05 2.500e-06
     398 7.405e-05 9.553e-05 7.959e-05 3.907e-06
     501 1.169e-04 1.434e-04 1.257e-04 5.800e-06
     631 1.860e-04 2.230e-04 1.990e-04 8.619e-06
     794 2.921e-04 3.432e-04 3.135e-04 1.083e-05
    1000 4.649e-04 5.301e-04 4.952e-04 1.484e-05
    1259 7.374e-04 8.380e-04 7.815e-04 2.197e-05
    1585 1.192e-03 1.409e-03 1.261e-03 5.492e-05
    1995 1.909e-03 2.227e-03 1.987e-03 8.043e-05
    2512 3.044e-03 3.501e-03 3.126e-03 9.369e-05
    3162 4.831e-03 5.520e-03 4.928e-03 9.454e-05
    3981 7.678e-03 8.283e-03 7.788e-03 7.463e-05
    5012 1.221e-02 1.268e-02 1.236e-02 8.681e-05
    6310 1.939e-02 2.212e-02 1.975e-02 4.312e-04
    7943 2.909e-02 3.169e-02 3.086e-02 5.646e-04
   10000 4.826e-02 5.442e-02 5.056e-02 1.233e-03
   12589 7.419e-02 8.359e-02 7.885e-02 1.674e-03
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.530e-07 1.000e-06 8.362e-07 1.386e-07
      13 9.160e-07 1.125e-06 9.765e-07 4.366e-08
      16 1.046e-06 1.113e-06 1.072e-06 1.367e-08
      20 1.047e-06 1.736e-06 1.272e-06 1.597e-07
      25 1.328e-06 1.986e-06 1.596e-06 2.562e-07
      32 2.239e-06 2.439e-06 2.289e-06 3.328e-08
      40 2.678e-06 3.166e-06 2.765e-06 7.418e-08
      50 3.402e-06 3.973e-06 3.571e-06 1.524e-07
      63 4.619e-06 8.067e-06 5.676e-06 7.846e-07
      79 7.675e-06 1.166e-05 8.335e-06 7.544e-07
     100 1.123e-05 1.863e-05 1.333e-05 1.696e-06
     126 1.785e-05 2.874e-05 2.100e-05 2.189e-06
     158 2.845e-05 4.488e-05 3.400e-05 4.193e-06
     200 4.431e-05 6.896e-05 5.155e-05 5.796e-06
     251 6.604e-05 8.821e-05 7.402e-05 5.635e-06
     316 1.058e-04 1.671e-04 1.222e-04 1.333e-05
     398 1.674e-04 2.344e-04 1.903e-04 1.448e-05
     501 2.658e-04 3.734e-04 2.962e-04 2.142e-05
     631 4.235e-04 5.831e-04 4.758e-04 3.471e-05
     794 6.715e-04 8.777e-04 7.381e-04 4.342e-05
    1000 1.127e-03 1.431e-03 1.226e-03 7.533e-05
    1259 1.787e-03 2.319e-03 1.954e-03 1.416e-04
    1585 2.844e-03 3.681e-03 3.095e-03 2.287e-04
    1995 4.384e-03 5.635e-03 4.776e-03 2.583e-04
    2512 7.147e-03 8.473e-03 7.563e-03 2.945e-04
    3162 1.160e-02 1.267e-02 1.184e-02 2.002e-04
    3981 1.747e-02 2.111e-02 1.892e-02 7.489e-04
    5012 2.741e-02 3.171e-02 2.926e-02 8.569e-04
    6310 4.390e-02 4.965e-02 4.677e-02 1.078e-03
    7943 7.025e-02 7.732e-02 7.422e-02 9.850e-04
#------- --------- --------- --------- ---------


